system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
0_0,1,-6.36456378798681,106.88604408096127,0.03674579241984473,8.871260796542727E-5,0.11774519711650008,2.5036674033502205E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.36456378798681]}"
1_0,1,-6.36456378798681,106.89502723380247,0.03618770336469556,8.46542871421235E-5,0.117753811619077,5.353672531778959E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.36456378798681]}"
2_0,1,-6.36456378798681,106.91299353948486,0.03606782977055202,8.487858409845832E-5,0.1177338339149423,4.9092590985638726E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.36456378798681]}"
3_0,1,-6.355580635145615,106.79621255254932,0.03597939107670482,9.331542424304785E-5,0.1177103362125167,7.384568328766642E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.355580635145615]}"
4_0,1,-6.355580635145615,106.80519570539052,0.03598261668212127,9.222993193534443E-5,0.11769484356038656,7.198194991865788E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.355580635145615]}"
5_0,1,-6.355580635145615,106.81417885823171,0.03597920710492095,9.205208455184567E-5,0.1176273199437478,2.646278395940548E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.355580635145615]}"
6_0,1,-6.355580635145615,106.82316201107291,0.03608098630006168,9.598187170916994E-5,0.1176044639355829,4.5053062198305057E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.355580635145615]}"
7_0,1,-6.355580635145615,106.87706092812007,0.03624866939066249,9.397592719279216E-5,0.11780607239768905,5.21188491483176E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.355580635145615]}"
8_0,1,-6.355580635145615,106.88604408096127,0.03642259798748635,9.256184889210595E-5,0.11774775983036732,1.6862974785718248E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.355580635145615]}"
9_0,1,-6.355580635145615,106.89502723380247,0.035895919875912174,9.275818592863175E-5,0.11774727902803989,3.074306523176061E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.355580635145615]}"
10_0,1,-6.355580635145615,106.90401038664366,0.0362185006216538,8.891722245595078E-5,0.11773355912907961,1.7576402569805354E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.355580635145615]}"
11_0,1,-6.355580635145615,106.91299353948486,0.03603353838987121,9.130642655551394E-5,0.11774039475588743,1.0101317295673089E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.355580635145615]}"
12_0,1,-6.34659748230442,106.79621255254932,0.03596486073855807,9.020376894630518E-5,0.11773715358896593,8.496252584947698E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.34659748230442]}"
13_0,1,-6.34659748230442,106.80519570539052,0.03597939097036482,9.612274060754579E-5,0.11762889798414422,9.970229612231259E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.34659748230442]}"
14_0,1,-6.34659748230442,106.81417885823171,0.035977752979629865,9.987281139166518E-5,0.11762091368446467,5.126617873218653E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.34659748230442]}"
15_0,1,-6.34659748230442,106.82316201107291,0.03597659148548507,1.0255493062162816E-4,0.117608226164712,4.8465635939264754E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.34659748230442]}"
16_0,1,-6.34659748230442,106.83214516391409,0.03578938194731522,1.0474049170552497E-4,0.11761675440718458,2.6521800552206546E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.34659748230442]}"
17_0,1,-6.34659748230442,106.85909462243768,0.03610232381192011,1.0427919108595128E-4,0.1176008548416635,6.898157344522195E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.34659748230442]}"
18_0,1,-6.34659748230442,106.86807777527888,0.03628534903181786,1.0120949446007241E-4,0.11773842367527945,6.139195615405207E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.34659748230442]}"
19_0,1,-6.34659748230442,106.87706092812007,0.0363060896633777,1.0058940483734973E-4,0.11775313195602634,2.770962728808789E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.34659748230442]}"
20_0,1,-6.34659748230442,106.88604408096127,0.03632592889960565,9.788337127366589E-5,0.11775438965842445,2.1390939460240077E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.34659748230442]}"
21_0,1,-6.34659748230442,106.89502723380247,0.036035757511832536,9.401084881447082E-5,0.1177476288815381,3.9478839122821775E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.34659748230442]}"
22_0,1,-6.34659748230442,106.90401038664366,0.03627355374774227,9.363712615582327E-5,0.11772483320734094,1.7576402569805354E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.34659748230442]}"
