system:index,dummy,lat,lon,modis_aod_047,.geo
0_0,1,-6.36456378798681,106.88604408096127,374.66666666666663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.36456378798681]}"
1_0,1,-6.36456378798681,106.89502723380247,379.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.36456378798681]}"
2_0,1,-6.36456378798681,106.91299353948486,380.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.36456378798681]}"
3_0,1,-6.355580635145615,106.79621255254932,402.8333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.355580635145615]}"
4_0,1,-6.355580635145615,106.80519570539052,402.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.355580635145615]}"
5_0,1,-6.355580635145615,106.81417885823171,403.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.355580635145615]}"
6_0,1,-6.355580635145615,106.82316201107291,392.33333333333337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.355580635145615]}"
7_0,1,-6.355580635145615,106.87706092812007,394.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.355580635145615]}"
8_0,1,-6.355580635145615,106.88604408096127,386.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.355580635145615]}"
9_0,1,-6.355580635145615,106.89502723380247,388.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.355580635145615]}"
10_0,1,-6.355580635145615,106.90401038664366,388.42857142857144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.355580635145615]}"
11_0,1,-6.355580635145615,106.91299353948486,388.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.355580635145615]}"
12_0,1,-6.34659748230442,106.79621255254932,402.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.34659748230442]}"
13_0,1,-6.34659748230442,106.80519570539052,394.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.34659748230442]}"
14_0,1,-6.34659748230442,106.81417885823171,388.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.34659748230442]}"
15_0,1,-6.34659748230442,106.82316201107291,388.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.34659748230442]}"
16_0,1,-6.34659748230442,106.83214516391409,388.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.34659748230442]}"
17_0,1,-6.34659748230442,106.85909462243768,393.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.34659748230442]}"
18_0,1,-6.34659748230442,106.86807777527888,396.125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.34659748230442]}"
19_0,1,-6.34659748230442,106.87706092812007,394.2857142857143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.34659748230442]}"
20_0,1,-6.34659748230442,106.88604408096127,387.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.34659748230442]}"
21_0,1,-6.34659748230442,106.89502723380247,394.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.34659748230442]}"
22_0,1,-6.34659748230442,106.90401038664366,395.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.34659748230442]}"
23_0,1,-6.34659748230442,106.91299353948486,387.44444444444446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.34659748230442]}"
24_0,1,-6.337614329463224,106.80519570539052,395.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.337614329463224]}"
25_0,1,-6.337614329463224,106.81417885823171,387.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.337614329463224]}"
26_0,1,-6.337614329463224,106.82316201107291,394.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.337614329463224]}"
27_0,1,-6.337614329463224,106.83214516391409,386.85714285714283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.337614329463224]}"
28_0,1,-6.337614329463224,106.84112831675529,379.90909090909093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.337614329463224]}"
29_0,1,-6.337614329463224,106.85011146959648,378.8333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.337614329463224]}"
30_0,1,-6.337614329463224,106.85909462243768,396.2857142857143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.337614329463224]}"
31_0,1,-6.337614329463224,106.86807777527888,400.8625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.337614329463224]}"
32_0,1,-6.337614329463224,106.87706092812007,402.3333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.337614329463224]}"
33_0,1,-6.337614329463224,106.88604408096127,390.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.337614329463224]}"
34_0,1,-6.337614329463224,106.89502723380247,400.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.337614329463224]}"
35_0,1,-6.337614329463224,106.90401038664366,396.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.337614329463224]}"
36_0,1,-6.337614329463224,106.91299353948486,403.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.337614329463224]}"
37_0,1,-6.32863117662203,106.80519570539052,395.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.32863117662203]}"
38_0,1,-6.32863117662203,106.81417885823171,395.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.32863117662203]}"
39_0,1,-6.32863117662203,106.82316201107291,378.8333333333333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.32863117662203]}"
40_0,1,-6.32863117662203,106.83214516391409,384.83333333333337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.32863117662203]}"
41_0,1,-6.32863117662203,106.84112831675529,382.85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.32863117662203]}"
42_0,1,-6.32863117662203,106.85011146959648,382.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.32863117662203]}"
43_0,1,-6.32863117662203,106.85909462243768,387.125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.32863117662203]}"
44_0,1,-6.32863117662203,106.86807777527888,404.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.32863117662203]}"
45_0,1,-6.32863117662203,106.87706092812007,396.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.32863117662203]}"
46_0,1,-6.32863117662203,106.88604408096127,395.85714285714283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.32863117662203]}"
47_0,1,-6.32863117662203,106.89502723380247,396.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.32863117662203]}"
48_0,1,-6.32863117662203,106.90401038664366,403.75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.32863117662203]}"
49_0,1,-6.32863117662203,106.91299353948486,404.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.32863117662203]}"
50_0,1,-6.319648023780834,106.81417885823171,394.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.319648023780834]}"
51_0,1,-6.319648023780834,106.82316201107291,405.6666666666667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.319648023780834]}"
52_0,1,-6.319648023780834,106.83214516391409,395.85714285714283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.319648023780834]}"
53_0,1,-6.319648023780834,106.84112831675529,387.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.84112831675529,-6.319648023780834]}"
54_0,1,-6.319648023780834,106.85011146959648,395.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85011146959648,-6.319648023780834]}"
55_0,1,-6.319648023780834,106.85909462243768,403.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.319648023780834]}"
56_0,1,-6.319648023780834,106.86807777527888,403.4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.319648023780834]}"
