system:index,dummy,lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,.geo
0_0,1,-6.36456378798681,106.88604408096127,0.03238906160426927,7.130861195032227E-5,0.11659825361912297,8.90539849381854E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.36456378798681]}"
1_0,1,-6.36456378798681,106.89502723380247,0.032423227991748835,6.904926704005235E-5,0.11659371549348524,3.247504440075563E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.36456378798681]}"
2_0,1,-6.36456378798681,106.91299353948486,0.03262154581686688,6.904926825913035E-5,0.11650049576167089,6.360544554548996E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.36456378798681]}"
3_0,1,-6.355580635145615,106.79621255254932,0.032593600880086275,7.239714139905217E-5,0.1164212870749614,3.349373400854367E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.355580635145615]}"
4_0,1,-6.355580635145615,106.80519570539052,0.03257047234950843,7.859038671619812E-5,0.11651102124558574,4.6119948819950475E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.355580635145615]}"
5_0,1,-6.355580635145615,106.81417885823171,0.032760362374099426,7.533553744504993E-5,0.11647189701816817,1.6131769367836026E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.355580635145615]}"
6_0,1,-6.355580635145615,106.82316201107291,0.03282956592736657,7.718670531171396E-5,0.11649866617153738,7.271539718091912E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.355580635145615]}"
7_0,1,-6.355580635145615,106.87706092812007,0.03265823244687174,6.909651542152275E-5,0.11658457335274158,8.477228513229152E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.87706092812007,-6.355580635145615]}"
8_0,1,-6.355580635145615,106.88604408096127,0.032556992116879534,7.130861195048694E-5,0.11662913464822458,8.640339989571772E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.88604408096127,-6.355580635145615]}"
9_0,1,-6.355580635145615,106.89502723380247,0.032592045672743944,7.032732004966263E-5,0.11662653271850157,6.11724963786964E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89502723380247,-6.355580635145615]}"
10_0,1,-6.355580635145615,106.90401038664366,0.032690670341207526,6.695641523684781E-5,0.1165529494382872,6.90384331391158E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.90401038664366,-6.355580635145615]}"
11_0,1,-6.355580635145615,106.91299353948486,0.03269705811761137,6.904926795802835E-5,0.11660515030133467,5.9649471580217006E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.91299353948486,-6.355580635145615]}"
12_0,1,-6.34659748230442,106.79621255254932,0.03262519553325382,6.945874791492345E-5,0.11637952146434008,4.237897107241254E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.79621255254932,-6.34659748230442]}"
13_0,1,-6.34659748230442,106.80519570539052,0.03277418047453153,7.547392523718582E-5,0.11640956067103256,7.177369888626401E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.80519570539052,-6.34659748230442]}"
14_0,1,-6.34659748230442,106.81417885823171,0.03277175069321171,7.533553395242039E-5,0.11642451342208457,8.464844668781162E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.81417885823171,-6.34659748230442]}"
15_0,1,-6.34659748230442,106.82316201107291,0.03277175039956254,7.834185089445625E-5,0.1165459622500094,1.0493503577884505E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.82316201107291,-6.34659748230442]}"
16_0,1,-6.34659748230442,106.83214516391409,0.03275985827323958,8.235714352441043E-5,0.11653749644775198,3.975101026487382E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.83214516391409,-6.34659748230442]}"
17_0,1,-6.34659748230442,106.85909462243768,0.032792056117132796,7.970157543239924E-5,0.1165375799139565,3.6346980191690185E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.85909462243768,-6.34659748230442]}"
18_0,1,-6.34659748230442,106.86807777527888,0.03254978731279878,8.076210504061799E-5,0.11654697097623638,1.9418666397572987E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.86807777527888,-6.34659748230442]}"
