lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,modis_aod_047,viirs_ntl
-6.36456378798681,106.88604408096128,0.0345490968378036,8.462390634476487e-05,0.1167713385040289,8.326221931979991e-05,374.6666666666666,25.751492432185582
-6.36456378798681,106.89502723380248,0.0345341980742236,8.298189662918535e-05,0.1167592195074209,6.823417077681224e-05,379.3333333333333,20.227253014700757
-6.36456378798681,106.91299353948486,0.0343007059222449,8.105624593173914e-05,0.1167536194940337,6.911993439789065e-05,380.3333333333333,25.102144507951635
-6.355580635145615,106.79621255254932,0.0345115869261115,8.292941973564842e-05,0.1167554121997341,8.335028868291447e-05,402.8333333333333,31.692071295403814
-6.355580635145615,106.80519570539052,0.0345273111932396,8.726822761902502e-05,0.1167570733834688,9.75150524936936e-05,402.75,33.87858849602777
-6.355580635145615,106.81417885823171,0.0347810833257843,8.704327421331402e-05,0.116639033707069,6.861766191848123e-05,403.3333333333333,31.159105018333157
-6.355580635145615,106.82316201107292,0.0348249522795908,8.839966337512988e-05,0.1167614354039218,8.50033561722001e-05,392.33333333333337,26.825365481169328
-6.355580635145615,106.87706092812007,0.0345203136182906,8.890785297930589e-05,0.1168850250334547,6.826814135494815e-05,394.2,28.98187947385188
-6.355580635145615,106.88604408096128,0.0347659721347657,8.710406221601385e-05,0.1168840477070812,6.841302083428377e-05,386.75,26.91865092515945
-6.355580635145615,106.89502723380248,0.0345097824635386,8.698145190586097e-05,0.1167604393282092,7.137731693780352e-05,388.3333333333333,23.2202562030993
-6.355580635145615,106.90401038664366,0.0345567207596291,8.878232612249127e-05,0.1167647110166461,6.819900023385886e-05,388.4285714285714,21.66993280920652
-6.355580635145615,106.91299353948486,0.0343306913389533,8.661238856180951e-05,0.1167652939943087,5.061953033849135e-05,388.6666666666667,23.937210889963005
-6.34659748230442,106.79621255254932,0.0347742527973097,8.71850362772793e-05,0.1167550938886981,9.921386511630284e-05,402.6666666666667,39.37870981852213
-6.34659748230442,106.80519570539052,0.0347888533796615,8.847376906749056e-05,0.116757154881026,9.863152257446714e-05,394.6666666666667,35.33820630587064
-6.34659748230442,106.81417885823171,0.0347652558450041,8.827520684033302e-05,0.1167498209837138,9.034844095396828e-05,388.3333333333333,33.57775955200195
-6.34659748230442,106.82316201107292,0.0348055437850739,8.993587471190097e-05,0.1167676270181338,0.0001142304304414344,388.4,29.822755571395632
-6.34659748230442,106.83214516391408,0.0347881847561302,9.147625385257e-05,0.1167559290037131,6.964806670932918e-05,388.6666666666667,30.180710575036837
-6.34659748230442,106.85909462243768,0.035022156373856,9.266164848090324e-05,0.1167604892738625,7.560555569678009e-05,393.6666666666667,30.650491290622288
-6.34659748230442,106.86807777527888,0.0347728156107803,9.23367405007602e-05,0.1167635106348728,6.860120685806075e-05,396.125,31.771674394607544
-6.34659748230442,106.87706092812007,0.0345434885631294,9.299126379635023e-05,0.1167787841714858,6.149047854378432e-05,394.2857142857143,28.92250004410744
-6.34659748230442,106.88604408096128,0.0345456234576726,9.046497412538107e-05,0.1167579358719414,6.78479708138912e-05,387.0,29.30502586364746
-6.34659748230442,106.89502723380248,0.034524417881434,9.090735641774104e-05,0.11676432403619,7.04147749846041e-05,394.5,27.867111206054688
-6.34659748230442,106.90401038664366,0.0345288629626313,8.866708648792424e-05,0.1167702323809257,7.031760478226038e-05,395.2,25.82140827178955
-6.34659748230442,106.91299353948486,0.0343373951573622,8.854739689956742e-05,0.1167698961334831,7.014001104447961e-05,387.44444444444446,24.444374443502987
-6.337614329463224,106.80519570539052,0.0348462577285032,9.442452925202026e-05,0.116761746341476,8.605932276701106e-05,395.6666666666667,32.91907965618631
-6.337614329463224,106.81417885823171,0.0348222430905035,9.432440461333286e-05,0.1167440101571326,8.519190165387433e-05,387.8,30.445289408906977
-6.337614329463224,106.82316201107292,0.0349095010167315,9.039103441741324e-05,0.1167575252701104,8.75139058830712e-05,394.6666666666667,29.602381865183517
-6.337614329463224,106.83214516391408,0.0348210483432695,9.305199785925062e-05,0.1167575161095418,3.674153390293868e-05,386.8571428571428,31.08912527561188
-6.337614329463224,106.84112831675527,0.0350214658860634,9.684546563269906e-05,0.1167594281232865,4.600582876595977e-05,379.9090909090909,29.608938443458687
-6.337614329463224,106.85011146959648,0.0350052621215371,9.752371065323805e-05,0.1167601826169114,3.888063929499629e-05,378.8333333333333,29.857446504675824
-6.337614329463224,106.85909462243768,0.0350052621215371,9.752371065323805e-05,0.1167601826169114,3.888063929499629e-05,396.2857142857143,31.418656684256888
-6.337614329463224,106.86807777527888,0.0347963509477425,9.758033746672626e-05,0.1167745815727673,6.929175842265519e-05,400.8625,31.111978912353518
-6.337614329463224,106.87706092812007,0.0348011516692064,9.725402263345909e-05,0.1167574419114808,6.793806863837993e-05,402.3333333333333,29.140298692803636
-6.337614329463224,106.88604408096128,0.0347845360868418,9.294797842494834e-05,0.1167613240167994,6.70409882014184e-05,390.0,31.67244095272488
-6.337614329463224,106.89502723380248,0.0345254664428903,9.279614762200513e-05,0.1166333210997723,6.951573472347568e-05,400.5,29.12189178466797
-6.337614329463224,106.90401038664366,0.0345415466082721,9.240384161757435e-05,0.1167754477943611,8.452124750821198e-05,396.5,26.632167642766778
-6.337614329463224,106.91299353948486,0.0343336272281605,9.231041259397595e-05,0.1167855946323928,7.69940348462341e-05,403.6666666666667,24.52519927153716
-6.32863117662203,106.80519570539052,0.0350358065988276,9.448211617279637e-05,0.1167603485190424,6.295756469524219e-05,395.5,33.88690121558405
