lat,lon,predicted_class,predicted_label
-6.36456378798681,106.88604408096128,2,UNHEALTHY
-6.36456378798681,106.89502723380248,1,MEDIUM
-6.36456378798681,106.91299353948486,2,UNHEALTHY
-6.355580635145615,106.79621255254932,2,UNHEALTHY
-6.355580635145615,106.80519570539052,1,MEDIUM
-6.355580635145615,106.81417885823171,2,UNHEALTHY
-6.355580635145615,106.82316201107292,1,MEDIUM
-6.355580635145615,106.87706092812007,2,UNHEALTHY
-6.355580635145615,106.88604408096128,1,MEDIUM
-6.355580635145615,106.89502723380248,1,MEDIUM
-6.355580635145615,106.90401038664366,1,MEDIUM
-6.355580635145615,106.91299353948486,1,MEDIUM
-6.34659748230442,106.79621255254932,1,MEDIUM
-6.34659748230442,106.80519570539052,1,MEDIUM
-6.34659748230442,106.81417885823171,0,GOOD
-6.34659748230442,106.82316201107292,0,GOOD
-6.34659748230442,106.83214516391408,2,UNHEALTHY
-6.34659748230442,106.85909462243768,2,UNHEALTHY
-6.34659748230442,106.86807777527888,2,UNHEALTHY
-6.34659748230442,106.87706092812007,1,MEDIUM
-6.34659748230442,106.88604408096128,1,MEDIUM
-6.34659748230442,106.89502723380248,1,MEDIUM
-6.34659748230442,106.90401038664366,2,UNHEALTHY
-6.34659748230442,106.91299353948486,2,UNHEALTHY
-6.337614329463224,106.80519570539052,0,GOOD
-6.337614329463224,106.81417885823171,2,UNHEALTHY
-6.337614329463224,106.82316201107292,2,UNHEALTHY
-6.337614329463224,106.83214516391408,1,MEDIUM
-6.337614329463224,106.84112831675527,2,UNHEALTHY
-6.337614329463224,106.85011146959648,2,UNHEALTHY
-6.337614329463224,106.85909462243768,2,UNHEALTHY
-6.337614329463224,106.86807777527888,1,MEDIUM
-6.337614329463224,106.87706092812007,2,UNHEALTHY
-6.337614329463224,106.88604408096128,2,UNHEALTHY
-6.337614329463224,106.89502723380248,0,GOOD
-6.337614329463224,106.90401038664366,1,MEDIUM
-6.337614329463224,106.91299353948486,1,MEDIUM
-6.32863117662203,106.80519570539052,2,UNHEALTHY
-6.32863117662203,106.81417885823171,2,UNHEALTHY
-6.32863117662203,106.82316201107292,2,UNHEALTHY
-6.32863117662203,106.83214516391408,2,UNHEALTHY
-6.32863117662203,106.84112831675527,2,UNHEALTHY
-6.32863117662203,106.85011146959648,2,UNHEALTHY
-6.32863117662203,106.85909462243768,2,UNHEALTHY
-6.32863117662203,106.86807777527888,2,UNHEALTHY
-6.32863117662203,106.87706092812007,2,UNHEALTHY
-6.32863117662203,106.88604408096128,2,UNHEALTHY
-6.32863117662203,106.89502723380248,1,MEDIUM
-6.32863117662203,106.90401038664366,2,UNHEALTHY
-6.32863117662203,106.91299353948486,0,GOOD
-6.319648023780834,106.81417885823171,2,UNHEALTHY
-6.319648023780834,106.82316201107292,2,UNHEALTHY
-6.319648023780834,106.83214516391408,1,MEDIUM
-6.319648023780834,106.84112831675527,2,UNHEALTHY
-6.319648023780834,106.85011146959648,2,UNHEALTHY
-6.319648023780834,106.85909462243768,2,UNHEALTHY
-6.319648023780834,106.86807777527888,2,UNHEALTHY
-6.319648023780834,106.87706092812007,2,UNHEALTHY
-6.319648023780834,106.88604408096128,1,MEDIUM
-6.319648023780834,106.89502723380248,0,GOOD
-6.319648023780834,106.90401038664366,1,MEDIUM
-6.319648023780834,106.91299353948486,2,UNHEALTHY
-6.310664870939639,106.77824624686691,2,UNHEALTHY
-6.310664870939639,106.78722939970812,2,UNHEALTHY
-6.310664870939639,106.79621255254932,1,MEDIUM
-6.310664870939639,106.80519570539052,0,GOOD
-6.310664870939639,106.81417885823171,2,UNHEALTHY
-6.310664870939639,106.82316201107292,2,UNHEALTHY
-6.310664870939639,106.83214516391408,1,MEDIUM
-6.310664870939639,106.84112831675527,2,UNHEALTHY
-6.310664870939639,106.85011146959648,2,UNHEALTHY
-6.310664870939639,106.85909462243768,2,UNHEALTHY
-6.310664870939639,106.86807777527888,1,MEDIUM
-6.310664870939639,106.87706092812007,1,MEDIUM
-6.310664870939639,106.88604408096128,1,MEDIUM
-6.310664870939639,106.89502723380248,1,MEDIUM
-6.310664870939639,106.90401038664366,2,UNHEALTHY
-6.310664870939639,106.91299353948486,2,UNHEALTHY
-6.301681718098443,106.77824624686691,0,GOOD
-6.301681718098443,106.78722939970812,1,MEDIUM
-6.301681718098443,106.79621255254932,0,GOOD
-6.301681718098443,106.80519570539052,2,UNHEALTHY
-6.301681718098443,106.81417885823171,2,UNHEALTHY
-6.301681718098443,106.82316201107292,1,MEDIUM
-6.301681718098443,106.83214516391408,2,UNHEALTHY
-6.301681718098443,106.84112831675527,1,MEDIUM
-6.301681718098443,106.85011146959648,1,MEDIUM
-6.301681718098443,106.85909462243768,1,MEDIUM
-6.301681718098443,106.86807777527888,1,MEDIUM
-6.301681718098443,106.87706092812007,1,MEDIUM
-6.301681718098443,106.88604408096128,1,MEDIUM
-6.301681718098443,106.89502723380248,2,UNHEALTHY
-6.301681718098443,106.90401038664366,2,UNHEALTHY
-6.301681718098443,106.91299353948486,1,MEDIUM
-6.292698565257249,106.76926309402572,1,MEDIUM
-6.292698565257249,106.77824624686691,0,GOOD
-6.292698565257249,106.78722939970812,1,MEDIUM
-6.292698565257249,106.79621255254932,2,UNHEALTHY
-6.292698565257249,106.80519570539052,1,MEDIUM
-6.292698565257249,106.81417885823171,1,MEDIUM
-6.292698565257249,106.82316201107292,1,MEDIUM
-6.292698565257249,106.83214516391408,0,GOOD
-6.292698565257249,106.84112831675527,0,GOOD
-6.292698565257249,106.85011146959648,2,UNHEALTHY
-6.292698565257249,106.85909462243768,2,UNHEALTHY
-6.292698565257249,106.86807777527888,1,MEDIUM
-6.292698565257249,106.87706092812007,1,MEDIUM
-6.292698565257249,106.88604408096128,1,MEDIUM
-6.292698565257249,106.89502723380248,2,UNHEALTHY
-6.292698565257249,106.90401038664366,1,MEDIUM
-6.283715412416053,106.76027994118454,2,UNHEALTHY
-6.283715412416053,106.76926309402572,2,UNHEALTHY
-6.283715412416053,106.77824624686691,1,MEDIUM
-6.283715412416053,106.78722939970812,2,UNHEALTHY
-6.283715412416053,106.79621255254932,0,GOOD
-6.283715412416053,106.80519570539052,1,MEDIUM
-6.283715412416053,106.81417885823171,0,GOOD
-6.283715412416053,106.82316201107292,2,UNHEALTHY
-6.283715412416053,106.83214516391408,0,GOOD
-6.283715412416053,106.84112831675527,1,MEDIUM
-6.283715412416053,106.85011146959648,1,MEDIUM
-6.283715412416053,106.85909462243768,1,MEDIUM
-6.283715412416053,106.86807777527888,1,MEDIUM
-6.283715412416053,106.87706092812007,0,GOOD
-6.283715412416053,106.88604408096128,1,MEDIUM
-6.283715412416053,106.89502723380248,1,MEDIUM
-6.283715412416053,106.90401038664366,2,UNHEALTHY
-6.274732259574858,106.76027994118454,2,UNHEALTHY
-6.274732259574858,106.76926309402572,1,MEDIUM
-6.274732259574858,106.77824624686691,0,GOOD
-6.274732259574858,106.78722939970812,0,GOOD
-6.274732259574858,106.79621255254932,1,MEDIUM
-6.274732259574858,106.80519570539052,0,GOOD
-6.274732259574858,106.81417885823171,0,GOOD
-6.274732259574858,106.82316201107292,1,MEDIUM
-6.274732259574858,106.83214516391408,1,MEDIUM
-6.274732259574858,106.84112831675527,0,GOOD
-6.274732259574858,106.85011146959648,2,UNHEALTHY
-6.274732259574858,106.85909462243768,1,MEDIUM
-6.274732259574858,106.86807777527888,1,MEDIUM
-6.274732259574858,106.87706092812007,1,MEDIUM
-6.274732259574858,106.88604408096128,2,UNHEALTHY
-6.274732259574858,106.89502723380248,1,MEDIUM
-6.274732259574858,106.90401038664366,2,UNHEALTHY
-6.265749106733662,106.75129678834334,2,UNHEALTHY
-6.265749106733662,106.76027994118454,1,MEDIUM
-6.265749106733662,106.76926309402572,1,MEDIUM
-6.265749106733662,106.77824624686691,1,MEDIUM
-6.265749106733662,106.78722939970812,1,MEDIUM
-6.265749106733662,106.79621255254932,1,MEDIUM
-6.265749106733662,106.80519570539052,0,GOOD
-6.265749106733662,106.81417885823171,1,MEDIUM
-6.265749106733662,106.82316201107292,2,UNHEALTHY
-6.265749106733662,106.83214516391408,1,MEDIUM
-6.265749106733662,106.84112831675527,1,MEDIUM
-6.265749106733662,106.85011146959648,0,GOOD
-6.265749106733662,106.85909462243768,1,MEDIUM
-6.265749106733662,106.86807777527888,0,GOOD
-6.265749106733662,106.87706092812007,0,GOOD
-6.265749106733662,106.88604408096128,1,MEDIUM
-6.265749106733662,106.89502723380248,2,UNHEALTHY
-6.265749106733662,106.90401038664366,1,MEDIUM
-6.256765953892468,106.76027994118454,1,MEDIUM
-6.256765953892468,106.76926309402572,0,GOOD
-6.256765953892468,106.77824624686691,1,MEDIUM
-6.256765953892468,106.78722939970812,0,GOOD
-6.256765953892468,106.79621255254932,1,MEDIUM
-6.256765953892468,106.80519570539052,1,MEDIUM
-6.256765953892468,106.81417885823171,1,MEDIUM
-6.256765953892468,106.82316201107292,0,GOOD
-6.256765953892468,106.83214516391408,1,MEDIUM
-6.256765953892468,106.84112831675527,1,MEDIUM
-6.256765953892468,106.85011146959648,0,GOOD
-6.256765953892468,106.85909462243768,0,GOOD
-6.256765953892468,106.86807777527888,0,GOOD
-6.256765953892468,106.87706092812007,1,MEDIUM
-6.256765953892468,106.88604408096128,2,UNHEALTHY
-6.256765953892468,106.89502723380248,2,UNHEALTHY
-6.256765953892468,106.90401038664366,1,MEDIUM
-6.256765953892468,106.91299353948486,1,MEDIUM
-6.247782801051272,106.75129678834334,2,UNHEALTHY
-6.247782801051272,106.76027994118454,2,UNHEALTHY
-6.247782801051272,106.76926309402572,2,UNHEALTHY
-6.247782801051272,106.77824624686691,1,MEDIUM
-6.247782801051272,106.78722939970812,1,MEDIUM
-6.247782801051272,106.79621255254932,1,MEDIUM
-6.247782801051272,106.80519570539052,1,MEDIUM
-6.247782801051272,106.81417885823171,1,MEDIUM
-6.247782801051272,106.82316201107292,0,GOOD
-6.247782801051272,106.83214516391408,0,GOOD
-6.247782801051272,106.84112831675527,0,GOOD
-6.247782801051272,106.85011146959648,1,MEDIUM
-6.247782801051272,106.85909462243768,1,MEDIUM
-6.247782801051272,106.86807777527888,1,MEDIUM
-6.247782801051272,106.87706092812007,1,MEDIUM
-6.247782801051272,106.88604408096128,1,MEDIUM
-6.247782801051272,106.89502723380248,1,MEDIUM
-6.247782801051272,106.90401038664366,2,UNHEALTHY
-6.247782801051272,106.91299353948486,1,MEDIUM
-6.247782801051272,106.92197669232606,1,MEDIUM
-6.247782801051272,106.93095984516724,1,MEDIUM
-6.247782801051272,106.93994299800843,1,MEDIUM
-6.238799648210077,106.75129678834334,1,MEDIUM
-6.238799648210077,106.76027994118454,1,MEDIUM
-6.238799648210077,106.76926309402572,1,MEDIUM
-6.238799648210077,106.77824624686691,0,GOOD
