lat,lon,s5p_co,s5p_no2,s5p_o3,s5p_so2,viirs_ntl
-6.36456378798681,106.88604408096128,0.0367457924198447,8.871260796542727e-05,0.1177451971165,2.5036674033502205e-05,22.78985977172852
-6.36456378798681,106.89502723380248,0.0361877033646955,8.46542871421235e-05,0.117753811619077,5.353672531778959e-05,17.47018798192342
-6.36456378798681,106.91299353948486,0.036067829770552,8.487858409845832e-05,0.1177338339149423,4.9092590985638726e-05,23.0908504486084
-6.355580635145615,106.79621255254932,0.0359793910767048,9.331542424304783e-05,0.1177103362125167,7.384568328766642e-05,28.137308883666996
-6.355580635145615,106.80519570539052,0.0359826166821212,9.222993193534443e-05,0.1176948435603865,7.198194991865788e-05,29.58340247472127
-6.355580635145615,106.81417885823171,0.0359792071049209,9.205208455184567e-05,0.1176273199437478,2.646278395940548e-05,26.34770107269287
-6.355580635145615,106.82316201107292,0.0360809863000616,9.598187170916994e-05,0.1176044639355829,4.5053062198305057e-05,23.203510284423828
-6.355580635145615,106.87706092812007,0.0362486693906624,9.397592719279216e-05,0.117806072397689,5.21188491483176e-06,26.140010140158918
-6.355580635145615,106.88604408096128,0.0364225979874863,9.256184889210597e-05,0.1177477598303673,1.6862974785718248e-05,25.05292087377504
-6.355580635145615,106.89502723380248,0.0358959198759121,9.275818592863177e-05,0.1177472790280398,3.074306523176061e-05,20.403674840927124
-6.355580635145615,106.90401038664366,0.0362185006216538,8.891722245595078e-05,0.1177335591290796,1.7576402569805354e-05,18.661945343017575
-6.355580635145615,106.91299353948486,0.0360335383898712,9.130642655551394e-05,0.1177403947558874,1.0101317295673089e-05,22.31868347754845
-6.34659748230442,106.79621255254932,0.035964860738558,9.020376894630518e-05,0.1177371535889659,8.496252584947698e-05,36.82717323303223
-6.34659748230442,106.80519570539052,0.0359793909703648,9.61227406075458e-05,0.1176288979841442,9.97022961223126e-05,30.578434626261394
-6.34659748230442,106.81417885823171,0.0359777529796298,9.987281139166518e-05,0.1176209136844646,5.126617873218653e-05,28.72600116729736
-6.34659748230442,106.82316201107292,0.035976591485485,0.00010255493062162816,0.117608226164712,4.8465635939264754e-05,25.851435643976384
-6.34659748230442,106.83214516391408,0.0357893819473152,0.00010474049170552496,0.1176167544071845,2.6521800552206542e-05,26.28223890187789
-6.34659748230442,106.85909462243768,0.0361023238119201,0.00010427919108595128,0.1176008548416635,6.898157344522195e-05,26.91391586435252
-6.34659748230442,106.86807777527888,0.0362853490318178,0.0001012094944600724,0.1177384236752794,6.139195615405207e-05,29.82851413580088
-6.34659748230442,106.87706092812007,0.0363060896633777,0.00010058940483734971,0.1177531319560263,2.770962728808789e-05,26.296980906341037
-6.34659748230442,106.88604408096128,0.0363259288996056,9.788337127366588e-05,0.1177543896584244,2.139093946024008e-05,28.08745994567871
-6.34659748230442,106.89502723380248,0.0360357575118325,9.401084881447082e-05,0.1177476288815381,3.9478839122821775e-05,25.23353918543402
-6.34659748230442,106.90401038664366,0.0362735537477422,9.363712615582328e-05,0.1177248332073409,1.7576402569805354e-05,23.6111394142618
-6.34659748230442,106.91299353948486,0.0357437897474152,9.205256646281296e-05,0.1177405252691325,2.946254605742119e-05,24.70096941136602
-6.337614329463224,106.80519570539052,0.0359648751715603,0.00010010285985056156,0.1176227969708971,6.53408405837612e-05,28.67481769214977
-6.337614329463224,106.81417885823171,0.0359907637254147,0.00010196424791252954,0.1176113304270189,6.646405017823778e-05,25.926260471343998
-6.337614329463224,106.82316201107292,0.0358274460914128,0.00010182273771064783,0.1176126968319851,3.0767835140659514e-05,24.876451110839845
-6.337614329463224,106.83214516391408,0.0355413009016521,0.00010739237969308783,0.1176336083372154,4.487700438818309e-05,26.32477347056071
-6.337614329463224,106.84112831675527,0.0358453778853764,0.00010754940012687666,0.1176371013683964,3.256770272771012e-05,25.429932912190758
-6.337614329463224,106.85011146959648,0.0357325898874617,0.00011026459867869908,0.117769239136802,2.5378454665754583e-05,26.416648864746094
-6.337614329463224,106.85909462243768,0.0357325898874617,0.00011026459867869908,0.117769239136802,2.5378454665754583e-05,27.85329818725586
-6.337614329463224,106.86807777527888,0.0360972309121615,0.00010756860717938618,0.1177409488407508,4.8513166802955686e-05,28.480022975376677
-6.337614329463224,106.87706092812007,0.0365127513205434,0.00010556150444502068,0.1177431130439545,2.982041860373475e-05,26.573948773470796
-6.337614329463224,106.88604408096128,0.03644062847764,0.00010146381684326536,0.1177550655096169,2.2694657409215048e-05,28.458331680297853
-6.337614329463224,106.89502723380248,0.0362799914555747,9.829497308898402e-05,0.1177408816687189,4.981477277486357e-05,25.859464645385746
-6.337614329463224,106.90401038664366,0.0363380871712652,9.721892638467615e-05,0.1177339373383297,4.085421541710632e-05,23.66552670796712
-6.337614329463224,106.91299353948486,0.0359314814613836,9.992362902283092e-05,0.1177413593211208,5.5744588288352616e-05,21.6790288289388
-6.32863117662203,106.80519570539052,0.0359939557218863,0.00010117864586543192,0.1176339942727314,8.67692231203986e-05,28.56806835261258
-6.32863117662203,106.81417885823171,0.0360243949008114,0.00010282459574368934,0.1176124164635278,6.646405017823778e-05,26.296972465515136
-6.32863117662203,106.82316201107292,0.0359194613992952,0.00010175264139074722,0.1176327231814326,6.871099766589168e-05,27.607795238494877
-6.32863117662203,106.83214516391408,0.0357764744638181,0.00010992671861257128,0.1176279612522508,4.47598722531254e-05,27.694963455200195
-6.32863117662203,106.84112831675527,0.0359444426913949,0.00011044370248416796,0.1176390197671627,3.310712418165081e-05,25.83392111460368
-6.32863117662203,106.85011146959648,0.0359016014800457,0.00010955900440593909,0.1177373241617135,4.384155060200803e-05,26.822439816533304
-6.32863117662203,106.85909462243768,0.0359016014800457,0.00010955900440593909,0.1177373241617135,4.384155060200803e-05,28.96298738626333
-6.32863117662203,106.86807777527888,0.0364054329693907,0.0001076117777651182,0.1176132184333744,6.646720822310447e-05,28.157342931959363
-6.32863117662203,106.87706092812007,0.036722913665361,0.00010754591579911992,0.1177362166343471,4.412924499768641e-05,28.04134521484375
-6.32863117662203,106.88604408096128,0.0367723604269584,0.00010552231454490988,0.1177373976519803,4.090296953028844e-05,30.207448739271896
-6.32863117662203,106.89502723380248,0.0365203486227156,0.00010203782042815328,0.1177517288717543,6.896081939460263e-05,24.15724372863769
-6.32863117662203,106.90401038664366,0.0363138555958727,0.0001020369245053016,0.1177528060814828,9.726632975235562e-05,22.95232919546274
-6.32863117662203,106.91299353948486,0.036290195814105,0.00010171969505389816,0.1177343126299319,9.877091327302722e-05,23.386010487874348
-6.319648023780834,106.81417885823171,0.0367208243140971,0.0001019413628193114,0.1176412113747277,5.2707512534462166e-05,27.569369536179764
-6.319648023780834,106.82316201107292,0.0364866361087943,0.00010212169802755564,0.1176212646340583,8.229763109897636e-05,25.163503011067707
-6.319648023780834,106.83214516391408,0.0362501662600591,0.00011066948156718144,0.117728621639446,0.0001012921482490534,25.19351975123088
-6.319648023780834,106.84112831675527,0.0362347820151469,0.0001111894351601555,0.1177494006054382,5.881673660070219e-05,26.298574794422496
-6.319648023780834,106.85011146959648,0.0364898832806782,0.00011072694798000296,0.1177344679498825,7.179005842768003e-05,25.18532795376248
