s5p_co,s5p_no2,s5p_o3,s5p_so2,modis_MODIS_AOD_047,viirs_VIIRS_NTL
0.5146559380097581,2.487584123521003,-0.25517368167030685,-1.4639220248157732,1.2205744210132934,1.8080050134757573
-0.05477161947168018,-0.5938851784436564,0.704364887040291,2.442633376965808,0.4388945076397707,-0.24550340716183527
-0.35707191798395294,0.6275649508861386,-0.8793229939555149,0.33564112970750043,-0.6131798138538063,-0.6858766916975733
2.4670852024295558,0.49544349319445496,0.5597496523390265,-0.30193168385199337,-1.1030642054187452,-0.2562387937282878
0.6443039440896539,-0.08206746116374378,0.44235377300641,1.3581983553540464,0.10671482929984114,0.6851803070681887
-0.40386474981587533,-0.8942979390033301,-0.6731781551345699,-1.0227372835608384,-0.2380451404402123,-0.10890272401468967
0.2026854326208987,0.5877797496333729,-0.31559473206047217,-0.09568746081432516,0.32358827421800945,-1.0203126942767244
0.7983633469061764,1.0655187080140027,0.18058664787175288,-0.04311218140370688,0.5933786179102838,-0.01996402875600758
-0.9743919722905496,0.14739814240987545,-0.3243630422739264,0.02834992037191054,-0.7344767839315253,-0.2922905273913527
2.211251727484411,0.025769307695449054,1.367218347689209,0.43152379525735474,0.8940611684972942,2.222440268452366
-0.17012728506606178,-0.1597004729638151,-0.8253446504289539,0.26727719750849976,0.8436107982237868,-0.1812592094183065
0.9262109417903405,-0.15537893581564285,0.4540960657156292,-0.1556823644403606,1.1745652272179954,0.170550896120383
-0.26372442603608615,-0.5378826582771594,-0.45463940916125867,-2.4778771813920533,-1.51544851576542,-0.39653631498117287
2.589426469398843,-0.509636238712493,0.2594873200191957,0.32229349633651994,4.889730494159083,0.8802149637184469
-0.47477081931676895,-0.700144752396578,0.2485182307342531,-0.2995193132404687,-0.6177603984974884,-0.14262147725389834
-0.6000790924462863,0.268820486085115,-0.5085872311830799,0.09768510306443795,-0.6093598656532269,0.8126135135583817
0.6613730242870008,0.31285764684737344,0.18335434284593205,2.1044587519208275,0.3389297467436075,-0.4260802699418463
0.1933726908407143,-0.09781382967847002,0.24174249685106586,0.3998029095433373,0.2313563557504904,0.6851803070681887
0.6178379197226562,-0.40468885960204454,0.5828292742220929,-0.3328076303361759,-1.3197010791042114,-0.07566761299228901
-0.5606998983309265,0.43783025869940334,-0.8030467422992056,0.343592427084063,0.11712546628527994,1.8201639191862224
-0.3962039347654398,2.481644349229786,-0.7667432926060209,-0.08357806575277846,-0.527250722601421,1.4249954727415297
0.5058470789858356,-0.16370206767633147,0.45257058573369907,1.6927342865154,-0.007940040438168178,-0.14262147725389834
-0.15107577963694827,2.1794691189641946,-0.02483435859906007,0.682895400846041,0.3566070224285681,0.5353230810025636
2.27357048362463,0.1532655309396305,1.7273594615768626,-0.0762241944103183,-0.6804882358373795,1.4310404990948054
-1.0749163944664368,-0.05528880116644475,-1.1066863119637411,1.2092217418526678,-1.4246378492731069,2.3311427839750936
0.06730754662987652,-0.38915054453131714,-0.8529246648235084,-1.4237211595770658,0.5217170991465317,1.6068616581554986
-0.7114802855103403,-0.5484980088617376,-0.015554167092319462,-0.6027347159540845,0.31816121271308023,0.35787969837637107
-0.7062397600877482,-0.6341664341051104,-1.8218780926329146,0.18062755798548974,-0.9359604082039521,2.493440009810849
1.2144513508405497,1.0052170217046519,0.8160095124341223,0.760249634028611,-0.15021253033834078,-0.4146120668167541
1.3304003174860664,0.06568744126913595,0.5603598340421855,-0.71573925509539,-0.16192200144496588,0.6851803070681887
-0.23328064058216239,-0.5887996846242091,-0.07780565065136347,0.050466106726277445,-0.2380451404402123,-0.10890272401468967
-0.09575320571950596,0.254610778699653,0.36178264755262224,0.4978585806432032,0.4631690679783746,1.0296431954611465
1.9152968317277899,2.750596203113088,-0.7690016080226141,1.1449808719606207,2.743829895748149,1.093221591341592
-0.19725501037447257,-0.9471793524671609,0.022570879612508865,-0.6267362573291052,0.4839401439964981,-0.2566091293027337
1.5914754436115555,-0.3403988799438292,0.3201554703701091,-0.30193168385199337,0.3333676590022215,0.8860355493332384
0.049840537180240854,0.7258875559197691,0.20835728878909196,1.3266525590283218,0.06585575105174986,0.9388558304711823
0.6842313336921764,-0.7752619387055674,1.8381407804950356,0.5839827661342861,-0.7489655782494592,0.3567907513533161
-0.5782086347762104,-0.4425717269630683,0.203310057217904,-0.40786993536853566,-1.3479532864573756,1.7304407676159659
-0.15614865866712477,-0.9485389697724348,-0.10953881151838578,0.1906586332410467,-0.03342810224494023,-0.7125893175507272
1.2884762728844723,-0.05615612453373921,0.6923240798719889,-1.0172457443856937,-0.15932396335081453,0.48539579586156645
0.836806275936821,-0.9391651893324754,0.6077669525856624,1.356514746452534,-0.7627289912846895,0.6557727211638095
-0.689757205636745,-0.6504142818786075,0.44644935651827194,-0.0188636714847323,0.10748938502309259,-1.0215531346202826
-0.26073224793730765,-1.101467244651349,-0.23116428875647801,-0.3467392724955895,0.2405758093370566,-0.24550340716183527
-0.691931186023889,-0.5715223283446934,0.3411457622363138,2.2766620352707942,0.29874679926990666,-0.09591474123526023
0.5705804531377489,1.196593611357427,0.4454141099957251,-1.2852515126437412,0.38854054328066695,0.07535994702091943
0.7230040114272279,-0.2931690579162335,1.531204131062341,-1.0235023434072934,-0.6853210311011765,0.29277901605746526
-0.7599023695908366,0.6722943678574004,-0.683519571783093,-0.6746450372958228,-0.6448593290545699,0.8540603480110849
0.1911804885007681,0.6714236296163937,-0.1312701915765506,-0.6576713386394797,0.09694531817587697,0.9573060958547478
0.012893302909834451,-0.6978091326309186,0.24474253172596566,-0.10380832135866348,-0.12618913759519756,0.5113842953410406
-0.14309414456173944,-0.6787513180099671,0.10976355531172446,-0.20438003335643534,1.2802192843288263,-0.36130296277481455
-0.3089743880330651,0.9314784091845886,-0.8835135113988302,-0.23368046727051844,-0.5137140239361324,0.5244630237057246
1.1397933362787764,-1.0548024304836325,0.9637643218586843,-0.7985631254977666,0.4401359004744309,0.35787969837637107
2.883148271316754,0.017272989960280934,-0.7678323184188819,0.5722190477820118,-0.06941685391475894,-0.05992823074720908
-0.25285922556632473,-0.45253214540652476,1.3253280400955294,0.10736128943290002,-0.14118042951507806,1.0250835222602515
-0.33693823725096506,-0.38175179184690883,-0.8538460474279778,0.12045285363929803,-0.5172716811885228,-1.6459595105456934
-0.0682466307172407,-0.2711007209440953,-0.45351129137123664,-2.1660410519743145,-1.3054586545287548,-0.15830124482466393
-0.2324961882143634,-0.3444426928887633,-0.3643923169949102,-0.33000831031872274,-0.38360771800131227,-1.0215531346202826
-0.3138333263664043,-0.6919006997317746,-1.7217617483186558,0.3077464950999533,-0.8818016264164169,0.6975313995614206
-1.0456978065845581,-0.6784712702128677,0.11649850540607869,-1.0261792699942953,-0.09537088383156067,0.5342511801115455
0.28089967726925574,0.677569526661686,-0.8801976674346077,0.3692000128052987,1.7840057001219651,-0.23383733520996333
-0.11923012810271079,0.7122992621249347,-0.8674520473195261,-1.2316503589921317,0.31085488813554846,0.9998726272157489
1.0015742419267812,-0.12284351888545351,1.4835215025207495,0.15884843991849945,-0.6741214251778571,-0.46678526341306686
-1.136175722576465,-0.3376677258980275,0.3622693133206338,-0.1160504602648945,0.33995414582206834,0.4798708436543539
1.179800470784581,1.57400109937063,-0.062050605505791286,0.21290611731423426,1.4828330627207627,0.9573060958547478
1.738320149701847,-0.08800947271643939,0.3782161581450463,-0.597816717061849,0.798005917079628,-0.09327259076956058
0.27172899798281347,0.5940980242414378,0.0991990766442063,-0.5254551596321761,0.35848003767373926,0.6159142185552618
-0.5124018362901506,1.699677395209896,0.5236951750849373,0.5572016126090015,-0.44838740339123007,1.588727916047204
-1.5092365836031345,-0.4916176990075919,-1.2172256912860633,0.184161715821443,-0.8524051351157059,0.4673678400432651
-0.5332244709857895,-0.26534866475515534,-1.1901834228838875,1.7198050300150967,0.04982495541436364,-0.5061736938628592
0.19716073149510444,-0.10692458668684217,1.6962094238221967,-0.7416464793603346,-0.6838258276383926,0.8870375945066941
0.46656420676722987,-0.6404014103435496,-0.4386672313771224,1.6476519972410233,0.5493893899750149,0.4825579491153273
