s5p_co,s5p_no2,s5p_o3,s5p_so2,viirs_VIIRS_NTL
0.513198332516729,2.4959553240788996,-0.2556376637638953,-1.4643232251092997,1.8093260326096514
-0.05395573295778151,-0.5953925728106878,0.7034305611085829,2.447411003950901,-0.24512894383431616
-0.3550794672181925,0.6299732895237997,-0.8794810323458769,0.33759123357362336,-0.6857052165269375
2.457900425254171,0.4974282759782269,0.5588862134844595,-0.30081463083203486,-0.25586927883067817
0.6423138731656866,-0.08189066886725736,0.4415478789241588,1.3614702214728382,0.6859837650201026
-0.4016871060438144,-0.8967683986100368,-0.6734372410053161,-1.022562033111484,-0.10846529519431537
0.20246251956917927,0.5900605446064152,-0.3160290971384758,-0.09430092967223838,-1.0202953759319975
0.7957829064423498,1.0693310417392536,0.1799090660411862,-0.04165695554931607,-0.019485604029523297
-0.9699563405453206,0.1482671590772323,-0.3247931093270105,0.026317507659398887,-0.2919376303841231
2.203079468006348,0.026248405829926543,1.3659591061668632,0.43359917914478674,2.223952319720836
-0.1688747091321206,-0.15981595509427163,-0.8255291477674995,0.2691379772529627,-0.1808551330062785
0.9231245161249758,-0.1554805639333683,0.45328441583032725,-0.1543742224707233,0.17111713787577765
-0.26210141866555825,-0.5392105193899907,-0.45500561772192133,-2.479603212643229,-0.39623146961792083
1.3679991022817326,-0.1320068712181075,0.2587710628855426,0.040142225344246774,-0.22167204412368421
-0.4723125490542425,-0.7019927944174112,0.2478073503970344,-0.2983991578504724,-0.1421995909466891
-0.5971248869110528,0.2700787593149949,-0.5089269957565019,0.020188140412019176,0.8134757112945186
0.6593347533967359,0.31425709470214314,0.18267540435465435,2.108725106493236,-0.4257890427365868
0.1932841436740535,-0.09773091519342572,0.2410349378234689,0.3944555400731944,0.6859837650201026
0.6159719486607684,-0.4055897271430802,0.5819545222652778,-0.3317309197411103,-0.07521486459153334
-0.5579015446870713,0.4396303445901935,-0.8032421695618145,0.28549116423626875,1.821490542915006
-0.394056610367401,2.4899965080194812,-0.766956514988516,-0.08217571250914023,1.4261399452876253
0.5044021680298463,-0.16383037814591617,0.451759683603759,1.6965428025060978,-0.1421995909466891
-0.14989860425960644,2.186852562377028,-0.02541124775528882,0.6852992261668025,0.5360574629156194
2.2651502022666192,0.1541533573204304,1.7259236871257797,-0.07481152629932593,1.4321877580695987
-1.0700829150334181,-0.05506955966020524,-1.1067329020610104,1.2123132636912377,2.3327049411969663
0.06762042157627335,-0.39000159923783856,-0.8530956430704314,-1.4240698335330646,1.6080899611315338
